jdpuq asrem zxcvk  byth_ filno wg___; 918; 871; 1.054; 1.003; 4638.242;
jmduq asreb zxcvk  ywth_ fionl gp___; 896; 893; 1.003; 1.000; 4640.534;
qmbuj asred zxcvk  ywth_ fionl gp___; 896; 893; 1.003; 1.000; 4642.284;
jmpub aserd zxcvq  kyth_ folni wg___; 942; 847; 1.112; 1.016; 4643.381;
qmpub aserd zxcvj  kyth_ filno wg___; 942; 847; 1.112; 1.016; 4643.381;
jdpuq asrem zxcvk  byth_ fionl wg___; 918; 871; 1.054; 1.003; 4645.766;
qmpub aserd zxcvj  whty_ fionl kg___; 942; 847; 1.112; 1.016; 4650.493;
qmpub aserd zxcvj  kyth_ fionl wg___; 942; 847; 1.112; 1.016; 4651.001;
qupmb aserd zxcvj  wyth_ fionl kg___; 942; 847; 1.112; 1.016; 4652.017;
qpmuk asred zxcvj  ywth_ floni bg___; 918; 871; 1.054; 1.003; 4652.287;
qmpuj asred zxcvb  kyth_ fonli wg___; 942; 847; 1.112; 1.016; 4653.034;
qmpuj aserd zxcvb  kyth_ gionl wf___; 942; 847; 1.112; 1.016; 4655.066;
qupmb aserd zxcvj  khty_ fionl wg___; 942; 847; 1.112; 1.016; 4655.066;
qpmub aserd zxcvj  wyth_ fionl kg___; 942; 847; 1.112; 1.016; 4656.082;
qupmb aserd zxcvj  whty_ floni kg___; 942; 847; 1.112; 1.016; 4656.082;
qmpub aserd zxcvj  wyth_ floni kg___; 942; 847; 1.112; 1.016; 4656.590;
qbpmu aserd zxcvj  whty_ fionl kg___; 942; 847; 1.112; 1.016; 4657.098;
qbpmu aserd zxcvj  kyth_ fionl wg___; 942; 847; 1.112; 1.016; 4657.606;
qmpub aserd zxcvj  khty_ floni wg___; 942; 847; 1.112; 1.016; 4658.622;
qmpub aserd zxcvj  kgly_ finot wh___; 942; 847; 1.112; 1.016; 4658.622;
